#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  90
#! SET periodic_phi true
   -3.141592654   97.051124585   44.354055339
   -3.071779484   99.961248089   38.832200969
   -3.001966313  102.471481486   32.891000052
   -2.932153143  104.576286339   26.971180532
   -2.862339973  106.265965778   21.166217025
   -2.792526803  107.559831996   15.747578863
   -2.722713633  108.503002809   10.932836681
   -2.652900463  109.122490588    6.616629431
   -2.583087293  109.473537889    3.023732506
   -2.513274123  109.580963774   -0.059723015
   -2.443460953  109.489733151   -2.672848820
   -2.373647783  109.242051509   -4.601474326
   -2.303834613  108.871882945   -5.978446155
   -2.234021443  108.435083442   -6.541968257
   -2.164208272  107.987274591   -6.217023725
   -2.094395102  107.597309582   -4.892172096
   -2.024581932  107.331033236   -2.559969806
   -1.954768762  107.257006181    0.527596165
   -1.884955592  107.416012830    4.011478634
   -1.815142422  107.810149926    7.325091518
   -1.745329252  108.420462218   10.082077708
   -1.675516082  109.185027166   11.647631458
   -1.605702912  110.002989486   11.636161745
   -1.535889742  110.754741534    9.888957819
   -1.466076572  111.327823917    6.334074310
   -1.396263402  111.599044062    1.385753345
   -1.326450232  111.487435969   -4.590147083
   -1.256637061  110.933234477  -10.990771152
   -1.186823891  109.937138413  -17.298917528
   -1.117010721  108.517410167  -23.076164552
   -1.047197551  106.714490338  -28.061850993
   -0.977384381  104.610748912  -32.024682997
   -0.907571211  102.258359746  -35.066170786
   -0.837758041   99.728158919  -37.172718135
   -0.767944871   97.077522485  -38.516377709
   -0.698131701   94.358866293  -39.185268125
   -0.628318531   91.623385689  -39.017202811
   -0.558505361   88.928532485  -38.127499444
   -0.488692191   86.322357624  -36.248079355
   -0.418879020   83.892198294  -33.277203172
   -0.349065850   81.698696481  -29.305140793
   -0.279252680   79.817652762  -24.204922454
   -0.209439510   78.347959736  -17.985073521
   -0.139626340   77.323859790  -10.981684309
   -0.069813170   76.820238898   -3.387974185
    0.000000000   76.859833254    4.404399751
    0.069813170   77.437906173   12.213770906
    0.139626340   78.544771408   19.378626414
    0.209439510   80.125368019   25.830376708
    0.279252680   82.122198587   31.115971183
    0.349065850   84.447789899   35.182079136
    0.418879020   87.000330747   37.877393072
    0.488692191   89.693090928   39.143542203
    0.558505361   92.429214291   39.143076647
    0.628318531   95.119670567   37.786577666
    0.698131701   97.668238982   35.283220002
    0.767944871  100.004839684   31.590246500
    0.837758041  102.038049321   26.602845193
    0.907571211  103.679989974   20.358715385
    0.977384381  104.834451004   12.732632285
    1.047197551  105.414206977    3.784799930
    1.117010721  105.324118412   -6.333890204
    1.186823891  104.494009665  -17.373427240
    1.256637061  102.888801658  -28.751608028
    1.326450232  100.484519390  -39.900515082
    1.396263402   97.328646729  -50.321593601
    1.466076572   93.494241310  -59.252186747
    1.535889742   89.105306382  -66.168492283
    1.605702912   84.311904701  -70.657844619
    1.675516082   79.297187343  -72.424118085
    1.745329252   74.266751946  -71.230134015
    1.815142422   69.419948387  -67.088007208
    1.884955592   64.971950210  -60.017964873
    1.954768762   61.098714828  -50.434979497
    2.024581932   57.976682398  -38.645964040
    2.094395102   55.736885933  -25.322082105
    2.164208272   54.471781134  -11.124798798
    2.234021443   54.199345158    3.302677051
    2.303834613   54.914175878   17.037995818
    2.373647783   56.542997753   29.406104274
    2.443460953   58.970708340   39.909070103
    2.513274123   62.057693518   48.274677131
    2.583087293   65.655971473   54.425147773
    2.652900463   69.607659934   58.369106203
    2.722713633   73.761185067   60.293994514
    2.792526803   77.996373968   60.639237575
    2.862339973   82.201612227   59.467420723
    2.932153143   86.279784874   57.094607798
    3.001966313   90.157992831   53.715478477
    3.071779484   93.766610926   49.420153817
