#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -126.079567226  -53.873936353
   -2.951193099 -134.446879724  -33.639345123
   -2.760793544 -138.841554374  -13.155884642
   -2.570393989 -139.776183331    1.998008793
   -2.379994435 -138.623602321    8.493878675
   -2.189594880 -137.090476745    6.331782639
   -1.999195325 -136.542798601   -1.002198726
   -1.808795770 -137.432085887   -7.729773782
   -1.618396215 -139.089070621   -8.353704737
   -1.427996661 -140.053849611   -0.463629726
   -1.237597106 -138.832746118   13.903341748
   -1.047197551 -134.670818577   29.407671100
   -0.856797996 -127.912314663   40.323731079
   -0.666398442 -119.803259427   43.258932575
   -0.475998887 -111.951903913   37.757650189
   -0.285599332 -105.848911842   25.194937777
   -0.095199777 -102.655820188    7.553415746
    0.095199777 -103.119967649  -12.726765282
    0.285599332 -107.411462762  -31.860981309
    0.475998887 -114.812825143  -44.349937160
    0.666398442 -123.490332478  -44.444486601
    0.856797996 -130.714475082  -29.076962468
    1.047197551 -133.672670669   -0.426092281
    1.237597106 -130.520302166   33.418175326
    1.427996661 -121.298277062   61.520251017
    1.618396215 -108.070197430   74.254348673
    1.808795770  -94.282676695   67.173235905
    1.999195325  -83.612571208   42.370938016
    2.189594880  -78.796413753    7.241233895
    2.379994435  -80.874346481  -28.409924901
    2.570393989  -89.063303449  -55.667096747
    2.760793544 -101.176662633  -69.056522582
    2.951193099 -114.390392880  -67.486615275
