#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
   -3.141592654  -94.939650258  -50.433139765
   -3.070995066  -98.267437606  -43.896264921
   -3.000397478 -101.134044507  -37.364665558
   -2.929799890 -103.545235748  -31.019094890
   -2.859202303 -105.512124399  -24.808881643
   -2.788604715 -107.039132425  -18.504671998
   -2.718007127 -108.116269181  -12.056661369
   -2.647409540 -108.740416277   -5.826674845
   -2.576811952 -108.954129914   -0.534066943
   -2.506214364 -108.850737629    3.003193783
   -2.435616776 -108.566325957    4.627243100
   -2.365019189 -108.216844944    5.022194876
   -2.294421601 -107.849873207    5.345845926
   -2.223824013 -107.438626382    6.177121357
   -2.153226425 -106.958652302    7.168253565
   -2.082628838 -106.443357013    6.994255273
   -2.012031250 -106.011893899    4.663342383
   -1.941433662 -105.816466083    0.412310829
   -1.870836075 -105.956516597   -4.520423149
   -1.800238487 -106.425351085   -8.713840776
   -1.729640899 -107.131292438  -11.134989291
   -1.659043311 -107.935709404  -11.595441245
   -1.588445724 -108.716534352  -10.451266948
   -1.517848136 -109.376362557   -8.268662491
   -1.447250548 -109.843160085   -4.922648130
   -1.376652961 -110.016228465    0.169637312
   -1.306055373 -109.758655219    7.211989270
   -1.235457785 -108.956580839   15.388249496
   -1.164860197 -107.589912241   22.865911436
   -1.094262610 -105.765842681   28.250847925
   -1.023665022 -103.638649235   31.586813526
   -0.953067434 -101.312412882   34.092567551
   -0.882469847  -98.803047424   36.903926811
   -0.811872259  -96.082532470   39.951101808
   -0.741274671  -93.160555568   42.444798039
   -0.670677083  -90.109099362   43.556829012
   -0.600079496  -87.033123124   43.164959540
   -0.529481908  -84.032766499   41.466764932
   -0.458884320  -81.187193225   38.754256485
   -0.388286732  -78.566993757   35.069429308
   -0.317689145  -76.249112626   30.181443267
   -0.247091557  -74.327360352   23.882544183
   -0.176493969  -72.901153588   16.212786017
   -0.105896382  -72.048454802    7.630148599
   -0.035298794  -71.811832227   -1.047951180
    0.035298794  -72.175305805   -9.269989801
    0.105896382  -73.092435855  -16.719923470
    0.176493969  -74.509844457  -23.520440195
    0.247091557  -76.391633915  -29.848296339
    0.317689145  -78.705155705  -35.707627631
    0.388286732  -81.397331929  -40.394393992
    0.458884320  -84.352137565  -43.025485870
    0.529481908  -87.404457449  -43.179469246
    0.600079496  -90.397739490  -41.476091406
    0.670677083  -93.236045806  -38.983614941
    0.741274671  -95.881432902  -35.931387246
    0.811872259  -98.270220379  -31.486456772
    0.882469847 -100.260922920  -24.499120657
    0.953067434 -101.660367700  -14.941426297
    1.023665022 -102.327843997   -3.980304269
    1.094262610 -102.217352144    6.887618893
    1.164860197 -101.355843261   17.382894882
    1.235457785  -99.746395756   28.214895328
    1.306055373  -97.345029520   39.692735374
    1.376652961  -94.132225390   50.992695400
    1.447250548  -90.174224598   60.561733736
    1.517848136  -85.628848452   67.596788981
    1.588445724  -80.674657959   72.195969845
    1.659043311  -75.470482026   74.681001368
    1.729640899  -70.173261610   74.727783256
    1.800238487  -64.974956355   71.770257625
    1.870836075  -60.093429843   65.831406775
    1.941433662  -55.723670039   57.417743853
    2.012031250  -52.026204568   46.816413073
    2.082628838  -49.159772580   33.747719263
    2.153226425  -47.313614690   17.928313418
    2.223824013  -46.668539778   -0.050996235
    2.294421601  -47.320207543  -18.377366108
    2.365019189  -49.205603193  -34.616880957
    2.435616776  -52.104478579  -46.893965621
    2.506214364  -55.710589397  -54.663911227
    2.576811952  -59.736186032  -59.002254244
    2.647409540  -63.998074950  -61.707571025
    2.718007127  -68.435907262  -64.018573982
    2.788604715  -73.029979903  -66.108843663
    2.859202303  -77.737543606  -66.992586512
    2.929799890  -82.434463345  -65.704687526
    3.000397478  -86.957148494  -62.069692027
    3.070995066  -91.155360668  -56.708328388
