#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -164.918116664  -51.304118106
   -2.951193099 -172.878873237  -32.190243139
   -2.760793544 -177.161752590  -13.445550402
   -2.570393989 -178.277117168    0.497027264
   -2.379994435 -177.426271230    6.967942240
   -2.189594880 -176.113919785    5.564084191
   -1.999195325 -175.641251249   -1.116519033
   -1.808795770 -176.545068395   -7.917928898
   -1.618396215 -178.290723776   -9.170665900
   -1.427996661 -179.465603819   -1.833068051
   -1.237597106 -178.508771409   12.593970750
   -1.047197551 -174.531013392   28.840656485
   -0.856797996 -167.779083843   40.779099172
   -0.666398442 -159.511442894   44.381481149
   -0.475998887 -151.441301923   38.740559476
   -0.285599332 -145.213524525   25.463103934
   -0.095199777 -142.038677679    7.103907537
    0.095199777 -142.598880769  -13.171985187
    0.285599332 -146.912569204  -31.585522028
    0.475998887 -154.185512487  -43.374887498
    0.666398442 -162.670857880  -43.623841334
    0.856797996 -169.829071714  -29.298352159
    1.047197551 -172.941497866   -1.816784982
    1.237597106 -170.089167337   31.873059722
    1.427996661 -161.077110265   60.994606019
    1.618396215 -147.797888270   75.238865220
    1.808795770 -133.732199506   68.890043091
    1.999195325 -122.774354939   43.449248011
    2.189594880 -117.885914986    6.842395962
    2.379994435 -120.151676004  -29.827935420
    2.570393989 -128.593817682  -56.719473925
    2.760793544 -140.761215349  -68.495910962
    2.951193099 -153.707425278  -65.308020368
