Docking pose,Vina score(kcal/mol),RMSD l.b.,RMSD u.b.
1,-11.55,0,0
2,-11.5,3.477,7.393
3,-11.44,3.45,7.35
4,-11.16,3.216,9.709
5,-11.13,3.46,10.35
6,-11.1,1.364,1.833
7,-11.09,3.086,9.827
8,-11.08,2.1,9.674
9,-11.05,3.396,6.67
10,-11,3.103,9.864
